Occupation,Marital Status,Emirate,Country,Gender,support,Coverage,Education,Income
Self-Employed,Married,,India,,0.027303754266211604,Extended,,0
Self-Employed,Single,,Pakistan,F,0.027303754266211604,Extended,,
Self-Employed,Married,,India,F,0.027303754266211604,Extended,,
,,Dubai,Other,F,0.027303754266211604,Basic,,0
Employed,Divorced,Dubai,Philipines,F,0.027303754266211604,,,
,Single,Dubai,China,F,0.027303754266211604,,,0
Self-Employed,,Dubai,Pakistan,,0.027303754266211604,,College,0
Employed,Married,,Philipines,F,0.027303754266211604,Extended,,
,Divorced,Dubai,Philipines,F,0.027303754266211604,Basic,,
Employed,Married,,India,,0.027303754266211604,Basic,College,
,Single,Dubai,Pakistan,,0.027303754266211604,Extended,,0
,,Dubai,UAE,F,0.027303754266211604,Premium,High School or Below,
Employed,Married,,India,F,0.027303754266211604,,College,
Employed,,Dubai,Philipines,F,0.027303754266211604,,Bachelor,
Self-Employed,Divorced,Dubai,,F,0.027303754266211604,,,0
Employed,Married,,India,F,0.027303754266211604,,Bachelor,
Self-Employed,Single,Dubai,Pakistan,,0.027303754266211604,Extended,,
Self-Employed,,Dubai,Other,F,0.027303754266211604,Basic,,
,Married,Dubai,,F,0.027303754266211604,,High School or Below,0
Self-Employed,,,Pakistan,F,0.027303754266211604,,College,0
,Married,,Pakistan,F,0.027303754266211604,Basic,College,
Government,,Dubai,Pakistan,F,0.027303754266211604,Basic,,
,Single,Dubai,Pakistan,F,0.027303754266211604,,Bachelor,
Employed,Married,Dubai,Philipines,,0.027303754266211604,Extended,,
Employed,Married,Dubai,India,,0.027303754266211604,,Bachelor,
,Divorced,Dubai,,F,0.027303754266211604,Extended,Bachelor,
Employed,Single,Dubai,,F,0.027303754266211604,,High School or Below,
,Single,Dubai,China,F,0.027303754266211604,Basic,,
,Single,Dubai,India,F,0.027303754266211604,,Bachelor,
,,Dubai,China,F,0.027303754266211604,Basic,High School or Below,
,Married,Dubai,India,,0.027303754266211604,Extended,Bachelor,
Self-Employed,Single,Dubai,,,0.027303754266211604,Basic,College,
,Single,,,F,0.023890784982935155,Extended,High School or Below,0
Self-Employed,Married,,Philipines,F,0.023890784982935155,,,0
,,Dubai,China,F,0.023890784982935155,Basic,,0
Employed,Married,,Philipines,F,0.023890784982935155,,High School or Below,
Employed,Married,,,F,0.023890784982935155,Extended,High School or Below,
Employed,,Dubai,India,,0.023890784982935155,Basic,High School or Below,
Self-Employed,,,India,F,0.023890784982935155,Extended,Bachelor,
,Single,Dubai,India,,0.023890784982935155,Basic,High School or Below,
Self-Employed,Single,,,,0.023890784982935155,Extended,High School or Below,0
Self-Employed,Married,,,,0.023890784982935155,Extended,Bachelor,0
Self-Employed,Married,,,F,0.023890784982935155,Extended,Bachelor,
Self-Employed,,,India,F,0.023890784982935155,Basic,High School or Below,
,Single,Dubai,,,0.023890784982935155,Extended,High School or Below,0
,Single,,Pakistan,F,0.023890784982935155,Basic,,0
Government,Married,,Pakistan,F,0.023890784982935155,Basic,,
Self-Employed,Single,,Pakistan,F,0.023890784982935155,Basic,,
Employed,,Dubai,Other,F,0.023890784982935155,Basic,,
Self-Employed,,,Philipines,F,0.023890784982935155,Basic,,0
,,Dubai,Pakistan,F,0.023890784982935155,,Bachelor,0
,Married,,Pakistan,F,0.023890784982935155,Extended,Bachelor,
Self-Employed,,,China,F,0.023890784982935155,Basic,,0
,Married,,,F,0.023890784982935155,Extended,Bachelor,0
Self-Employed,,Dubai,India,,0.023890784982935155,,College,0
Self-Employed,,Dubai,China,F,0.023890784982935155,Basic,,
,,Dubai,Philipines,F,0.023890784982935155,Extended,High School or Below,
Self-Employed,Single,,Pakistan,,0.023890784982935155,Basic,,0
Self-Employed,,Dubai,India,F,0.023890784982935155,,College,
Employed,,,Philipines,F,0.023890784982935155,Basic,High School or Below,
Self-Employed,Divorced,,,F,0.023890784982935155,,College,0
Self-Employed,Single,Dubai,,,0.023890784982935155,Extended,High School or Below,
,Divorced,Dubai,,F,0.023890784982935155,Basic,Bachelor,
Self-Employed,Single,,,F,0.023890784982935155,Extended,High School or Below,
,Married,,India,F,0.023890784982935155,Basic,High School or Below,
Self-Employed,,,India,,0.023890784982935155,Extended,Bachelor,0
Government,Married,Dubai,Pakistan,,0.023890784982935155,Basic,,
,,Dubai,Other,F,0.023890784982935155,Basic,Bachelor,
Employed,,Dubai,Philipines,F,0.023890784982935155,,College,
,,,India,F,0.023890784982935155,Basic,High School or Below,0
Self-Employed,,Dubai,China,,0.023890784982935155,Basic,,0
,Divorced,Dubai,,F,0.023890784982935155,Basic,College,
Self-Employed,,,India,,0.023890784982935155,Extended,High School or Below,0
,Divorced,Dubai,India,F,0.023890784982935155,Basic,,
,,,India,F,0.023890784982935155,Extended,High School or Below,0
Employed,Married,Dubai,Philipines,,0.023890784982935155,,High School or Below,
,Single,Dubai,Pakistan,F,0.023890784982935155,,College,
Government,Married,Dubai,Pakistan,F,0.023890784982935155,,,
,Married,Dubai,Other,F,0.023890784982935155,Extended,,
,,,India,F,0.023890784982935155,Extended,Bachelor,0
,Married,Dubai,Other,F,0.023890784982935155,Basic,,
Self-Employed,,Dubai,Pakistan,,0.023890784982935155,,Bachelor,0
Self-Employed,,Dubai,Pakistan,F,0.023890784982935155,,Bachelor,
Employed,,Dubai,Other,F,0.023890784982935155,,Bachelor,
Enterpreneur,Married,Dubai,,F,0.023890784982935155,Basic,,
Self-Employed,Married,,,F,0.023890784982935155,,College,0
,,Dubai,India,F,0.023890784982935155,,College,0
Self-Employed,,,India,F,0.023890784982935155,Extended,High School or Below,
Self-Employed,,,India,,0.023890784982935155,Basic,High School or Below,0
Self-Employed,,Dubai,India,,0.023890784982935155,Extended,High School or Below,
,Single,,India,F,0.023890784982935155,Basic,High School or Below,
Employed,Married,Dubai,,,0.023890784982935155,Extended,High School or Below,
Employed,,Dubai,Philipines,,0.023890784982935155,Basic,High School or Below,
,Single,Dubai,Philipines,F,0.023890784982935155,Basic,,
Employed,,Dubai,China,F,0.023890784982935155,,High School or Below,
Employed,,,India,F,0.023890784982935155,Basic,High School or Below,
,,Dubai,India,,0.023890784982935155,Extended,High School or Below,0
Employed,Single,Dubai,,F,0.023890784982935155,,Bachelor,
,Single,Dubai,,F,0.023890784982935155,Extended,College,
Self-Employed,Single,,,F,0.020477815699658702,Extended,College,
Self-Employed,,Dubai,Philipines,F,0.020477815699658702,Basic,,
Self-Employed,,Dubai,China,,0.020477815699658702,,Bachelor,0
Self-Employed,,,China,F,0.020477815699658702,,Bachelor,0
Self-Employed,Divorced,Dubai,,F,0.020477815699658702,,College,
Self-Employed,Single,Dubai,,,0.020477815699658702,Extended,College,
Self-Employed,Single,Dubai,,,0.020477815699658702,Extended,Bachelor,
Self-Employed,Single,Dubai,China,,0.020477815699658702,Basic,,
Self-Employed,,Dubai,China,F,0.020477815699658702,,Bachelor,
Self-Employed,Single,,,,0.020477815699658702,Extended,Bachelor,0
Self-Employed,Single,,Pakistan,F,0.020477815699658702,,Bachelor,
Self-Employed,Single,,Pakistan,,0.020477815699658702,,Bachelor,0
Self-Employed,,,,F,0.020477815699658702,Extended,Master,0
Self-Employed,Single,Dubai,Pakistan,,0.020477815699658702,Basic,,
Self-Employed,Single,Dubai,Pakistan,,0.020477815699658702,,Bachelor,
Self-Employed,Divorced,Dubai,,,0.020477815699658702,,College,0
Self-Employed,,Dubai,Philipines,,0.020477815699658702,Basic,,0
Self-Employed,Single,,,,0.020477815699658702,Extended,College,0
Self-Employed,,,India,F,0.020477815699658702,Basic,College,
Self-Employed,Single,,,F,0.020477815699658702,Extended,Bachelor,
Self-Employed,,,India,,0.020477815699658702,Basic,College,0
Employed,Single,,,F,0.020477815699658702,Basic,High School or Below,
,Married,Dubai,Pakistan,,0.020477815699658702,Extended,Bachelor,
,Married,,Pakistan,F,0.020477815699658702,Basic,Bachelor,
Employed,Divorced,,,F,0.020477815699658702,Extended,Bachelor,
,Single,,Pakistan,F,0.020477815699658702,,Bachelor,0
,Married,Dubai,,F,0.020477815699658702,,College,0
,Single,,,F,0.020477815699658702,Extended,Bachelor,0
,Married,Dubai,Pakistan,,0.020477815699658702,Extended,College,
Employed,,,India,F,0.020477815699658702,Basic,Bachelor,
Employed,,,India,F,0.020477815699658702,Extended,Bachelor,
,Married,,,F,0.020477815699658702,Basic,College,0
,Married,,Pakistan,F,0.020477815699658702,Extended,College,
Employed,Married,,Pakistan,,0.020477815699658702,Extended,College,
,Single,Dubai,China,F,0.020477815699658702,,Bachelor,
Employed,Married,Dubai,,,0.020477815699658702,Premium,Bachelor,
Employed,Married,,,F,0.020477815699658702,Premium,Bachelor,
,Married,Dubai,India,,0.020477815699658702,Basic,Bachelor,
Employed,Divorced,Dubai,,,0.020477815699658702,Extended,Bachelor,
Self-Employed,Single,,China,,0.020477815699658702,Basic,,0
,Married,Dubai,Philipines,F,0.020477815699658702,,Bachelor,
,,Dubai,China,F,0.020477815699658702,Extended,Bachelor,
,Married,Dubai,Pakistan,,0.020477815699658702,Basic,Bachelor,
,Married,,India,F,0.020477815699658702,Basic,Bachelor,
,Single,Dubai,Pakistan,,0.020477815699658702,,Bachelor,0
,,Dubai,China,F,0.020477815699658702,,Bachelor,0
,Single,Dubai,,,0.020477815699658702,Extended,Bachelor,0
Employed,Married,,UAE,F,0.020477815699658702,,Bachelor,
Employed,Married,Dubai,UAE,,0.020477815699658702,,Bachelor,
Employed,Married,,UAE,,0.020477815699658702,Premium,Bachelor,
Self-Employed,Married,Dubai,India,,0.020477815699658702,Extended,,
,Single,,Other,F,0.020477815699658702,Basic,,0
,Single,,China,F,0.020477815699658702,Basic,,0
Employed,Single,Dubai,,,0.020477815699658702,Basic,High School or Below,
Self-Employed,Married,Dubai,,,0.020477815699658702,,College,0
Self-Employed,Married,Dubai,,F,0.020477815699658702,,College,
Self-Employed,Married,,,,0.020477815699658702,Basic,College,0
Self-Employed,Married,,,F,0.020477815699658702,Basic,College,
Government,,Dubai,,F,0.020477815699658702,Basic,High School or Below,
,,Dubai,Pakistan,F,0.020477815699658702,Basic,High School or Below,
,Single,Dubai,Other,F,0.020477815699658702,Basic,,
Self-Employed,Married,Dubai,Philipines,,0.020477815699658702,,,0
,Divorced,Dubai,India,F,0.020477815699658702,Extended,,
Self-Employed,Married,Dubai,Philipines,F,0.020477815699658702,,,
Employed,Single,Dubai,,F,0.020477815699658702,Extended,,
Employed,,Dubai,Other,F,0.020477815699658702,Extended,,
Self-Employed,Married,,India,,0.020477815699658702,Basic,,0
