Country,Emirate,Education,Occupation,Gender,Marital Status,Coverage,Income,cluster
Philipines,Dubai,College,Employed,M,Divorced,Basic,81097,2
Pakistan,Dubai,College,Employed,F,Married,Extended,96610,0
UAE,Sharjah,College,Employed,M,Married,Premium,30110,1
Pakistan,Dubai,High School or Below,Government,F,Married,Extended,22081,0
Other,Dubai,High School or Below,Self-Employed,F,Divorced,Basic,0,0
India,Dubai,College,Employed,M,Married,Basic,98473,1
Pakistan,Dubai,Bachelor,Employed,F,Married,Basic,97431,0
India,Dubai,Bachelor,Employed,M,Divorced,Basic,93870,2
China,Dubai,High School or Below,Employed,M,Divorced,Basic,50366,2
Other,Dubai,High School or Below,Employed,M,Single,Extended,34498,2
Pakistan,Dubai,College,Government,F,Married,Basic,16552,0
Pakistan,Dubai,College,Employed,F,Married,Extended,26787,0
China,Dubai,College,Self-Employed,M,Single,Basic,0,2
China,Abu Dhabi,High School or Below,Employed,F,Single,Basic,43860,1
Philipines,Sharjah,High School or Below,Employed,M,Married,Basic,21474,1
India,Dubai,Bachelor,Government,M,Married,Basic,18174,2
Philipines,Dubai,Bachelor,Self-Employed,F,Married,Basic,0,0
Philipines,Sharjah,College,Employed,M,Single,Basic,60920,1
Philipines,Sharjah,High School or Below,Employed,M,Married,Extended,41520,1
UAE,Dubai,Bachelor,Self-Employed,F,Married,Premium,0,0
Philipines,Dubai,High School or Below,Self-Employed,M,Married,Basic,0,2
India,Dubai,Bachelor,Employed,M,Married,Basic,72208,1
India,Abu Dhabi,Bachelor,Employed,F,Married,Basic,53863,1
Other,Sharjah,College,Employed,M,Divorced,Extended,66446,1
Other,Dubai,College,Self-Employed,M,Single,Basic,0,2
Other,Dubai,Bachelor,Employed,F,Single,Basic,64997,0
China,Dubai,High School or Below,Employed,F,Married,Basic,64460,0
Philipines,Abu Dhabi,College,Employed,F,Married,Basic,46618,1
Pakistan,Dubai,College,Self-Employed,F,Divorced,Basic,0,0
India,Dubai,College,Employed,M,Married,Extended,49988,1
India,Dubai,College,Self-Employed,F,Single,Extended,0,0
India,Dubai,Bachelor,Government,M,Divorced,Extended,16269,2
Philipines,Dubai,Bachelor,Employed,F,Divorced,Basic,72006,0
Philipines,Dubai,High School or Below,Self-Employed,F,Married,Extended,0,0
Pakistan,Dubai,Bachelor,Self-Employed,M,Single,Extended,0,2
India,Dubai,Master,Employed,M,Married,Basic,44320,1
UAE,Dubai,High School or Below,Retired,F,Divorced,Premium,19782,0
China,Dubai,Bachelor,Employed,F,Divorced,Basic,63933,0
Philipines,Dubai,Doctor,Employed,M,Single,Basic,28224,2
Other,Dubai,College,Retired,F,Divorced,Basic,21073,0
Pakistan,Sharjah,Bachelor,Employed,M,Married,Extended,63243,1
China,Dubai,High School or Below,Retired,M,Divorced,Extended,20993,2
Pakistan,Sharjah,Bachelor,Employed,F,Married,Extended,94827,1
India,Sharjah,Master,Employed,F,Married,Basic,39161,1
Other,Dubai,Bachelor,Employed,M,Married,Extended,37534,1
Pakistan,Abu Dhabi,Bachelor,Employed,F,Divorced,Basic,80210,1
India,Dubai,Bachelor,Self-Employed,M,Married,Basic,0,2
India,Abu Dhabi,College,Employed,F,Married,Basic,30110,1
Philipines,Dubai,College,Enterpreneur,F,Divorced,Basic,21708,0
Philipines,Dubai,High School or Below,Employed,M,Married,Basic,94731,1
India,Dubai,Bachelor,Employed,M,Married,Extended,32375,1
Pakistan,Abu Dhabi,College,Enterpreneur,M,Married,Basic,16531,1
Philipines,Abu Dhabi,Master,Employed,F,Single,Extended,32006,1
Philipines,Dubai,Bachelor,Employed,F,Married,Basic,81676,0
India,Abu Dhabi,College,Employed,M,Married,Extended,71038,1
Philipines,Dubai,High School or Below,Self-Employed,F,Single,Basic,0,0
China,Abu Dhabi,Master,Enterpreneur,F,Married,Basic,20832,1
Other,Dubai,High School or Below,Self-Employed,M,Single,Basic,0,2
UAE,Dubai,High School or Below,Employed,M,Married,Premium,52405,1
Philipines,Dubai,High School or Below,Self-Employed,F,Married,Extended,0,0
Other,Dubai,Bachelor,Employed,F,Married,Extended,26583,0
Pakistan,Abu Dhabi,Master,Government,M,Married,Basic,25486,1
UAE,Dubai,College,Employed,M,Divorced,Premium,24065,2
UAE,Abu Dhabi,High School or Below,Employed,F,Married,Premium,70435,1
India,Dubai,College,Self-Employed,M,Single,Extended,0,2
Pakistan,Dubai,High School or Below,Employed,F,Married,Extended,39679,0
China,Sharjah,College,Self-Employed,M,Single,Extended,0,2
India,Dubai,Bachelor,Self-Employed,M,Married,Basic,0,2
China,Dubai,High School or Below,Employed,M,Married,Basic,53565,1
Other,Dubai,Bachelor,Employed,M,Married,Basic,37574,1
UAE,Abu Dhabi,Bachelor,Employed,M,Single,Premium,48259,1
Philipines,Dubai,High School or Below,Employed,F,Married,Extended,78532,0
Philipines,Dubai,Bachelor,Employed,F,Married,Basic,96163,0
India,Dubai,Bachelor,Self-Employed,M,Single,Basic,0,2
India,Dubai,High School or Below,Self-Employed,M,Married,Basic,0,2
Other,Sharjah,College,Employed,M,Married,Basic,72672,1
UAE,Dubai,Bachelor,Employed,F,Married,Premium,99002,0
India,Sharjah,High School or Below,Employed,M,Married,Extended,79494,1
Pakistan,Abu Dhabi,Master,Employed,M,Married,Extended,35704,1
Philipines,Dubai,Bachelor,Self-Employed,F,Single,Basic,0,0
UAE,Abu Dhabi,High School or Below,Government,F,Married,Premium,26049,0
Philipines,Abu Dhabi,Doctor,Employed,M,Single,Basic,70125,1
India,Dubai,College,Employed,M,Married,Basic,52369,1
Other,Abu Dhabi,Bachelor,Self-Employed,F,Married,Basic,0,0
Philipines,Dubai,College,Employed,M,Married,Basic,41770,1
UAE,Dubai,High School or Below,Self-Employed,M,Divorced,Premium,0,2
India,Dubai,College,Employed,M,Married,Basic,31911,1
China,Abu Dhabi,Bachelor,Employed,M,Married,Basic,70051,1
Pakistan,Dubai,High School or Below,Retired,M,Married,Basic,19683,2
Other,Abu Dhabi,College,Employed,F,Married,Basic,30916,1
Pakistan,Dubai,Bachelor,Self-Employed,F,Single,Extended,0,0
Other,Dubai,College,Self-Employed,F,Divorced,Basic,0,0
India,Dubai,Bachelor,Self-Employed,M,Married,Basic,0,2
Pakistan,Sharjah,College,Employed,M,Single,Extended,60145,1
UAE,Abu Dhabi,Bachelor,Employed,F,Divorced,Premium,63774,1
India,Dubai,Bachelor,Employed,F,Married,Basic,25134,0
Pakistan,Abu Dhabi,Bachelor,Employed,M,Married,Basic,37057,1
Pakistan,Sharjah,High School or Below,Employed,F,Married,Basic,58577,1
India,Abu Dhabi,High School or Below,Employed,M,Married,Basic,85857,1
Pakistan,Sharjah,Doctor,Employed,F,Married,Basic,70602,1
UAE,Dubai,Master,Employed,F,Divorced,Premium,33816,0
UAE,Dubai,Bachelor,Self-Employed,M,Single,Premium,0,2
Pakistan,Abu Dhabi,College,Employed,F,Married,Extended,89642,1
India,Dubai,Bachelor,Employed,F,Married,Extended,60068,0
India,Dubai,Bachelor,Employed,F,Single,Extended,50044,0
India,Abu Dhabi,Master,Employed,F,Married,Basic,36650,1
Philipines,Abu Dhabi,College,Employed,F,Married,Basic,50653,1
Philipines,Sharjah,Doctor,Employed,F,Married,Basic,68931,1
Pakistan,Dubai,Bachelor,Self-Employed,M,Single,Basic,0,2
India,Dubai,College,Self-Employed,F,Single,Basic,0,0
India,Dubai,Bachelor,Employed,M,Married,Extended,39266,1
India,Dubai,College,Self-Employed,M,Married,Basic,0,2
China,Dubai,High School or Below,Self-Employed,F,Single,Extended,0,0
China,Abu Dhabi,Bachelor,Employed,F,Married,Basic,40864,1
Pakistan,Sharjah,College,Employed,F,Divorced,Basic,39035,1
India,Dubai,Bachelor,Employed,M,Single,Extended,34923,2
India,Dubai,High School or Below,Self-Employed,M,Single,Basic,0,2
India,Dubai,High School or Below,Self-Employed,F,Married,Basic,0,0
India,Dubai,College,Employed,F,Divorced,Basic,24506,0
Pakistan,Dubai,High School or Below,Self-Employed,M,Married,Extended,0,2
Philipines,Dubai,College,Employed,F,Married,Basic,52220,0
Philipines,Dubai,High School or Below,Self-Employed,M,Married,Basic,0,2
India,Dubai,College,Employed,M,Married,Basic,53554,1
India,Abu Dhabi,Bachelor,Employed,M,Married,Basic,34476,1
Philipines,Abu Dhabi,Bachelor,Self-Employed,F,Married,Basic,0,0
India,Abu Dhabi,College,Employed,M,Married,Extended,68205,1
India,Dubai,High School or Below,Self-Employed,F,Single,Basic,0,0
UAE,Dubai,High School or Below,Employed,M,Married,Premium,53690,1
Pakistan,Dubai,High School or Below,Self-Employed,M,Single,Basic,0,2
India,Dubai,High School or Below,Self-Employed,F,Single,Basic,0,0
India,Dubai,High School or Below,Employed,F,Single,Basic,74454,0
China,Dubai,Bachelor,Self-Employed,F,Single,Basic,0,0
Pakistan,Dubai,High School or Below,Enterpreneur,M,Married,Basic,29664,2
Other,Sharjah,Master,Government,M,Divorced,Basic,15680,2
China,Abu Dhabi,Bachelor,Employed,F,Married,Extended,47272,1
Pakistan,Dubai,College,Employed,F,Married,Extended,21585,0
UAE,Abu Dhabi,College,Government,F,Married,Premium,23827,0
Philipines,Sharjah,College,Employed,F,Married,Basic,69906,1
India,Dubai,High School or Below,Self-Employed,F,Single,Basic,0,0
Other,Abu Dhabi,Master,Employed,F,Married,Basic,89879,1
Other,Dubai,High School or Below,Self-Employed,F,Married,Basic,0,0
India,Dubai,High School or Below,Employed,M,Married,Basic,46131,1
Pakistan,Sharjah,Master,Employed,F,Divorced,Basic,54514,1
UAE,Dubai,High School or Below,Self-Employed,F,Single,Premium,0,0
China,Dubai,College,Employed,F,Single,Basic,96668,0
India,Dubai,Doctor,Employed,M,Married,Basic,78879,1
China,Dubai,College,Self-Employed,M,Single,Basic,0,2
Philipines,Dubai,Bachelor,Self-Employed,F,Married,Extended,0,0
India,Dubai,Bachelor,Self-Employed,F,Single,Basic,0,0
Pakistan,Dubai,Bachelor,Enterpreneur,M,Single,Basic,29735,2
India,Dubai,High School or Below,Enterpreneur,M,Married,Basic,23082,2
Philipines,Dubai,Bachelor,Employed,M,Divorced,Extended,53984,2
UAE,Sharjah,College,Employed,F,Single,Premium,52135,1
India,Dubai,College,Enterpreneur,F,Married,Basic,17576,0
Pakistan,Abu Dhabi,Bachelor,Employed,F,Married,Basic,29486,1
Pakistan,Abu Dhabi,Master,Employed,F,Married,Extended,58557,1
India,Dubai,Bachelor,Employed,M,Married,Basic,25632,1
India,Dubai,High School or Below,Self-Employed,F,Single,Basic,0,0
Philipines,Dubai,Bachelor,Government,M,Single,Basic,18768,2
India,Dubai,Bachelor,Employed,F,Divorced,Basic,33190,0
Pakistan,Abu Dhabi,Master,Employed,F,Married,Basic,47945,1
Philipines,Abu Dhabi,College,Employed,M,Married,Extended,58778,1
India,Dubai,High School or Below,Government,F,Married,Basic,15192,0
UAE,Dubai,Bachelor,Employed,F,Married,Premium,51859,0
China,Dubai,High School or Below,Retired,F,Single,Basic,23422,0
India,Dubai,College,Employed,F,Divorced,Extended,21604,0
Philipines,Sharjah,College,Employed,M,Married,Extended,79298,1
Philipines,Sharjah,Bachelor,Employed,F,Married,Basic,76731,1
Other,Dubai,College,Employed,F,Married,Basic,67282,0
Philipines,Dubai,College,Employed,F,Married,Basic,48534,0
UAE,Dubai,Doctor,Employed,M,Married,Premium,77678,1
Pakistan,Dubai,College,Employed,F,Single,Basic,48412,0
Other,Sharjah,High School or Below,Employed,F,Married,Basic,33837,1
Pakistan,Sharjah,Bachelor,Government,M,Single,Extended,23712,2
India,Dubai,College,Retired,M,Married,Basic,28142,2
India,Abu Dhabi,Master,Employed,F,Single,Basic,72196,1
India,Sharjah,Master,Employed,M,Married,Basic,68197,1
India,Abu Dhabi,Bachelor,Employed,M,Married,Basic,75248,1
India,Dubai,College,Self-Employed,F,Single,Extended,0,0
China,Dubai,Bachelor,Self-Employed,M,Single,Basic,0,2
UAE,Abu Dhabi,Bachelor,Employed,F,Divorced,Premium,41546,1
Pakistan,Dubai,High School or Below,Employed,M,Divorced,Extended,46998,2
Pakistan,Abu Dhabi,Bachelor,Employed,M,Single,Basic,57099,1
Philipines,Sharjah,Bachelor,Employed,F,Married,Basic,33897,1
UAE,Dubai,High School or Below,Employed,F,Single,Premium,59207,0
Pakistan,Dubai,High School or Below,Employed,M,Divorced,Basic,40171,2
Other,Dubai,Bachelor,Employed,M,Divorced,Basic,67798,2
Other,Dubai,Bachelor,Enterpreneur,F,Divorced,Extended,21665,0
Pakistan,Dubai,College,Self-Employed,M,Single,Extended,0,2
Philipines,Dubai,College,Self-Employed,F,Single,Basic,0,0
China,Abu Dhabi,Bachelor,Employed,F,Married,Extended,34226,1
India,Abu Dhabi,High School or Below,Employed,F,Married,Extended,65989,1
Pakistan,Abu Dhabi,High School or Below,Employed,M,Single,Basic,30686,1
India,Dubai,Master,Self-Employed,F,Married,Basic,0,0
Philipines,Dubai,High School or Below,Employed,F,Married,Basic,20090,0
India,Dubai,High School or Below,Self-Employed,M,Married,Basic,0,2
UAE,Sharjah,College,Employed,M,Married,Premium,77094,1
India,Sharjah,College,Employed,F,Married,Basic,97413,1
Pakistan,Dubai,Master,Employed,F,Married,Basic,79189,0
India,Dubai,High School or Below,Self-Employed,F,Divorced,Basic,0,0
Philipines,Dubai,College,Retired,F,Divorced,Extended,18577,0
Pakistan,Dubai,College,Self-Employed,F,Single,Basic,0,0
Other,Dubai,Bachelor,Employed,M,Married,Basic,40783,1
Pakistan,Dubai,Bachelor,Self-Employed,M,Single,Basic,0,2
China,Dubai,College,Enterpreneur,M,Married,Basic,17483,2
